target,childRisks
http://bods.openownership.org/resource/openownership-register-1392880684889875603,crime
http://bods.openownership.org/resource/openownership-register-5726987111867999082,crime
http://bods.openownership.org/resource/openownership-register-17644886071950978659,crime
http://bods.openownership.org/resource/openownership-register-4667649584521345891,crime
http://bods.openownership.org/resource/openownership-register-15285863653339370187,sanction
http://bods.openownership.org/resource/openownership-register-8283747997004231173,crime
http://bods.openownership.org/resource/openownership-register-6203775715356507473,crime
http://bods.openownership.org/resource/openownership-register-14045920983509473127,crime
http://bods.openownership.org/resource/openownership-register-2319429847209876232,sanction
http://bods.openownership.org/resource/openownership-register-17531909035855896338,crime
http://bods.openownership.org/resource/openownership-register-9910137451662262159,crime
http://bods.openownership.org/resource/openownership-register-9080641088693085489,crime
http://bods.openownership.org/resource/openownership-register-1954724108237590921,crime
http://bods.openownership.org/resource/openownership-register-8107191576384845207,sanction
http://bods.openownership.org/resource/openownership-register-11531939132925081696,crime
http://bods.openownership.org/resource/openownership-register-17732481368613580006,crime
http://bods.openownership.org/resource/openownership-register-2470190745626971180,crime
http://bods.openownership.org/resource/openownership-register-4895184145032692240,crime
http://bods.openownership.org/resource/openownership-register-4471640192364813501,crime
http://bods.openownership.org/resource/openownership-register-15248788295217501155,crime
http://bods.openownership.org/resource/openownership-register-2219596990758457970,sanction
http://bods.openownership.org/resource/openownership-register-8760105604771622141,sanction
http://bods.openownership.org/resource/openownership-register-13013393180666549213,crime
http://bods.openownership.org/resource/openownership-register-4651259451415988214,crime
http://bods.openownership.org/resource/openownership-register-6352448722928762799,crime
http://bods.openownership.org/resource/openownership-register-4462109357599411781,crime
http://bods.openownership.org/resource/openownership-register-31902056101850978,sanction
http://bods.openownership.org/resource/openownership-register-431713704283772454,sanction
http://bods.openownership.org/resource/openownership-register-1665567316352022852,crime
http://bods.openownership.org/resource/openownership-register-3823216639984787369,sanction
http://bods.openownership.org/resource/openownership-register-3086928774001634849,sanction
http://bods.openownership.org/resource/openownership-register-5349204506857096345,crime
http://bods.openownership.org/resource/openownership-register-4596425732695419213,crime
http://bods.openownership.org/resource/openownership-register-15371856622519410704,crime
http://bods.openownership.org/resource/openownership-register-13496559652279676298,crime
http://bods.openownership.org/resource/openownership-register-7028815739089624574,crime
http://bods.openownership.org/resource/openownership-register-6379102898142187802,crime
http://bods.openownership.org/resource/openownership-register-15612418185897321256,sanction
http://bods.openownership.org/resource/openownership-register-3114148310215849195,sanction
http://bods.openownership.org/resource/openownership-register-9468803649229733232,crime
http://bods.openownership.org/resource/openownership-register-4461621837609167258,crime
http://bods.openownership.org/resource/openownership-register-16324161030712135173,crime
http://bods.openownership.org/resource/openownership-register-315670134703497268,crime
http://bods.openownership.org/resource/openownership-register-9623832848808495446,crime
http://bods.openownership.org/resource/openownership-register-6059482782463194245,crime
http://bods.openownership.org/resource/openownership-register-2286429478009014556,crime
http://bods.openownership.org/resource/openownership-register-6724321934226803383,sanction
http://bods.openownership.org/resource/openownership-register-8410208204097167620,crime
http://bods.openownership.org/resource/openownership-register-3222459340808789669,crime
http://bods.openownership.org/resource/openownership-register-14164159307080827741,crime
http://bods.openownership.org/resource/openownership-register-14864541834158680857,crime
http://bods.openownership.org/resource/openownership-register-7861492069325883714,crime
http://bods.openownership.org/resource/openownership-register-12815213680590695479,crime
http://bods.openownership.org/resource/openownership-register-17058335266220987416,crime
http://bods.openownership.org/resource/openownership-register-13039488051362254,crime
http://bods.openownership.org/resource/openownership-register-10850972545611669440,crime
http://bods.openownership.org/resource/openownership-register-9788197196465408160,crime
http://bods.openownership.org/resource/openownership-register-5161349822927083889,crime
http://bods.openownership.org/resource/openownership-register-4329956701573850307,crime
http://bods.openownership.org/resource/openownership-register-8997585051366963168,crime
http://bods.openownership.org/resource/openownership-register-5622248222568121118,crime
http://bods.openownership.org/resource/openownership-register-16717679721726903902,crime
http://bods.openownership.org/resource/openownership-register-3587796988968920477,crime
http://bods.openownership.org/resource/openownership-register-11263593823340431953,crime
http://bods.openownership.org/resource/openownership-register-4656281685941247337,crime
http://bods.openownership.org/resource/openownership-register-17097083268417546337,sanction
http://bods.openownership.org/resource/openownership-register-4233702931331101519,crime
http://bods.openownership.org/resource/openownership-register-2273509721091344822,crime
http://bods.openownership.org/resource/openownership-register-7393279592979038816,crime
http://bods.openownership.org/resource/openownership-register-18142805689448838555,crime
http://bods.openownership.org/resource/openownership-register-11370892804271680592,crime
http://bods.openownership.org/resource/openownership-register-7036513326576532311,crime
http://bods.openownership.org/resource/openownership-register-15413348192704640713,crime
http://bods.openownership.org/resource/openownership-register-6712431270492923024,crime
http://bods.openownership.org/resource/openownership-register-16163093101093026921,crime
http://bods.openownership.org/resource/openownership-register-8451962046685292091,crime
http://bods.openownership.org/resource/openownership-register-6708553856235039604,crime
http://bods.openownership.org/resource/openownership-register-8465249151785081210,crime
http://bods.openownership.org/resource/openownership-register-13078876757615092979,crime
http://bods.openownership.org/resource/openownership-register-8837595675261790274,crime
http://bods.openownership.org/resource/openownership-register-11979095055665636198,crime
http://bods.openownership.org/resource/openownership-register-12549018003944276171,crime
http://bods.openownership.org/resource/openownership-register-17085744211623918236,crime
http://bods.openownership.org/resource/openownership-register-4374196622643209049,crime
http://bods.openownership.org/resource/openownership-register-17464010618471222907,sanction
http://bods.openownership.org/resource/openownership-register-3230852646357622288,sanction
http://bods.openownership.org/resource/openownership-register-6303454998869103668,crime
http://bods.openownership.org/resource/openownership-register-6085787448309124245,crime
http://bods.openownership.org/resource/openownership-register-11869353813042407690,crime
http://bods.openownership.org/resource/openownership-register-7021075565858582817,crime
http://bods.openownership.org/resource/openownership-register-18271929345041970033,crime
http://bods.openownership.org/resource/openownership-register-2545938305992107021,crime
http://bods.openownership.org/resource/openownership-register-11905579782447653963,crime
http://bods.openownership.org/resource/openownership-register-17818855435357935827,crime
http://bods.openownership.org/resource/openownership-register-3512831819722416635,crime
http://bods.openownership.org/resource/openownership-register-1181165988065087106,crime
http://bods.openownership.org/resource/openownership-register-13264222148203847368,crime
http://bods.openownership.org/resource/openownership-register-6258959999996387707,crime
http://bods.openownership.org/resource/openownership-register-6280440375395972313,crime
http://bods.openownership.org/resource/openownership-register-3140707058125301599,crime
http://bods.openownership.org/resource/openownership-register-1402802357477712730,crime
http://bods.openownership.org/resource/openownership-register-3679712397019372065,crime
http://bods.openownership.org/resource/openownership-register-11234218497453228113,crime
http://bods.openownership.org/resource/openownership-register-2070722058828650197,crime.terror
http://bods.openownership.org/resource/openownership-register-2699860456624028850,crime
http://bods.openownership.org/resource/openownership-register-2746542985514644736,sanction
http://bods.openownership.org/resource/openownership-register-7025956915219905958,sanction
http://bods.openownership.org/resource/openownership-register-3035946179233108754,sanction
http://bods.openownership.org/resource/openownership-register-8575589616536927625,sanction
http://bods.openownership.org/resource/openownership-register-4471463820565164263,crime
http://bods.openownership.org/resource/openownership-register-1997223431522960146,crime
http://bods.openownership.org/resource/openownership-register-6096924790201753785,debarment
http://bods.openownership.org/resource/openownership-register-6054814999486643479,crime
http://bods.openownership.org/resource/openownership-register-14569134572835405230,crime
http://bods.openownership.org/resource/openownership-register-114811510201831191,crime
http://bods.openownership.org/resource/openownership-register-13364109055727225579,crime
http://bods.openownership.org/resource/openownership-register-16715325343410183465,crime
http://bods.openownership.org/resource/openownership-register-11822696666586421209,crime
http://bods.openownership.org/resource/openownership-register-17166011711305109070,crime
http://bods.openownership.org/resource/openownership-register-6379090517344206289,crime
http://bods.openownership.org/resource/openownership-register-15010971907506893454,crime
http://bods.openownership.org/resource/openownership-register-13563007691202776532,crime
http://bods.openownership.org/resource/openownership-register-18269114093816211936,crime
http://bods.openownership.org/resource/openownership-register-519368432672654821,crime
http://bods.openownership.org/resource/openownership-register-12715191322198587189,crime
http://bods.openownership.org/resource/openownership-register-4883627479387590432,crime
http://bods.openownership.org/resource/openownership-register-12704298997655917170,crime
http://bods.openownership.org/resource/openownership-register-2557429742407353230,crime
http://bods.openownership.org/resource/openownership-register-18226816165127658311,crime
http://bods.openownership.org/resource/openownership-register-2944199372165557385,crime
http://bods.openownership.org/resource/openownership-register-5965255425481713445,crime
http://bods.openownership.org/resource/openownership-register-18384625019623193094,crime
http://bods.openownership.org/resource/openownership-register-719666227157050859,crime
http://bods.openownership.org/resource/openownership-register-15604223297178425160,crime
http://bods.openownership.org/resource/openownership-register-1137678672732759963,crime
http://bods.openownership.org/resource/openownership-register-2050208178018348210,crime
http://bods.openownership.org/resource/openownership-register-7771408487030003268,crime
http://bods.openownership.org/resource/openownership-register-3532548342409549936,sanction
http://bods.openownership.org/resource/openownership-register-15242020349392618406,crime
http://bods.openownership.org/resource/openownership-register-2536887462207390600,crime
http://bods.openownership.org/resource/openownership-register-6043008118889342798,crime
http://bods.openownership.org/resource/openownership-register-8627847739678422927,crime
http://bods.openownership.org/resource/openownership-register-11671355768112825660,sanction
http://bods.openownership.org/resource/openownership-register-16932073918159625730,sanction
http://bods.openownership.org/resource/openownership-register-9144148198554611081,sanction
http://bods.openownership.org/resource/openownership-register-8018256106000359354,sanction
http://bods.openownership.org/resource/openownership-register-6926016103723937446,sanction
http://bods.openownership.org/resource/openownership-register-14994621510784294224,sanction
http://bods.openownership.org/resource/openownership-register-11789646532602086284,crime
http://bods.openownership.org/resource/openownership-register-9140675974021436249,crime
http://bods.openownership.org/resource/openownership-register-7283794250989142733,crime
http://bods.openownership.org/resource/openownership-register-12010157692523830933,crime
http://bods.openownership.org/resource/openownership-register-13612081816789193512,crime
